stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,stop_timezone,level_id
A0328,0328,БУЛ. К. ВЕЛИЧКОВ,,42.70669174194336,23.29991912841797,0,,,
A2545,2545,УЛ. ЛЕСНОВСКА РЕКА,,42.780941009521484,23.392051696777344,0,,,
A2887,2887,БУЛ. РОЖЕН,,42.732398986816406,23.31343650817871,0,,,
A0778,0778,УЛ. ИНЖ. ГЕОРГИ БЕЛОВ,,42.638065338134766,23.40648078918457,0,,,
A1351,1351,УЛ. БРЕЗИТЕ,,42.64561462402344,23.27342987060547,0,,,
A2189,2189,УЛ. СТОИЛ ВОЙВОДА,,42.68888854980469,23.362783432006836,0,,,
TB2849,2849,УЛ. ЧАВДАР МУТАФОВ,,42.655670166015625,23.333250045776367,0,,,
TM0720,0720,НУ ЗА ТАНЦОВО ИЗКУСТВО,,42.678524017333984,23.365325927734375,0,,,
A1714,1714,МОСТА НА СУХАТА РЕКА,,42.62962341308594,23.333330154418945,0,,,
TM0647,0647,ПК СПАРТАК,,42.67554473876953,23.31501007080078,0,,,
A2880,2880,УЛ. БОЯН БОЯНОВ,,42.63715744018555,23.33877944946289,0,,,
TM2299,2299,ТЪРГОВСКИ К-С НАДЕЖДА,,42.726539611816406,23.302371978759766,0,,,
A1058,1058,МЕТРОСТАНЦИЯ ОПЪЛЧЕНСКА,,42.69966506958008,23.312610626220703,0,,,
TB2418,2418,БУЛ. ЦАРИЦА ЙОАНА,,42.71138000488281,23.271894454956055,0,,,
A6772,6772,УЛ. ДЖЕРМАН - ВРЕМЕННА,,42.755043029785156,23.319080352783203,0,,,
A2877,2877,УЛ. ТОДОР ЙОНЧЕВ,,42.64011764526367,23.3436222076416,0,,,
TM1116,1116,НАЦИОНАЛНА ОПЕРА,,42.69830322265625,23.33062744140625,0,,,
A2301,2301,ХАНЧЕТО,,42.70796585083008,23.52028465270996,0,,,
A6394,6394,ТЕХНИЧЕСКИ УНИВЕРСИТЕТ,,42.65624237060547,23.35405921936035,0,,,
A0378,0378,ЖЕНСКИ ПАЗАР,,42.700714111328125,23.318262100219727,0,,,
A2270,2270,129-ТО ОУ,,42.693973541259766,23.3475341796875,0,,,
A1557,1557,СЕЛО СВЕТОВРАЧАНЕ,,42.7829475402832,23.390338897705078,0,,,
A2280,2280,61-ВО ОУ,,42.737953186035156,23.2902889251709,0,,,
A2516,2516,УЛ. БАБА ТОНКА,,42.78771209716797,23.521804809570312,0,,,
A0464,0464,ГАРА ПИОНЕР,,42.6661262512207,23.33755111694336,0,,,
A0830,0830,КВ. ГОРУБЛЯНЕ,,42.62843704223633,23.407920837402344,0,,,
A0314,0314,БУЛ. ГОЦЕ ДЕЛЧЕВ,,42.67246627807617,23.29505729675293,0,,,
A6473,6473,ХЛАДИЛЕН ЗАВОД,,42.708404541015625,23.33249855041504,0,,,
A6469,6469,БЪЛГАРСКО НАЦИОНАЛНО РАДИО,,42.68467712402344,23.333154678344727,0,,,
A2882,2882,МЕТРОСТАНЦИЯ ФР. ЖОЛИО-КЮРИ,,42.67192459106445,23.350372314453125,0,,,
TB1892,1892,УЛ. ГЕН. ВЛ. ДИНЧЕВ,,42.71794128417969,23.273151397705078,0,,,
A0179,0179,БЛ. 28 Ж.К. ЛЕВСКИ-Г,,42.7126350402832,23.38430404663086,0,,,
TB0311,0311,БУЛ. ГОЦЕ ДЕЛЧЕВ,,42.67653274536133,23.289274215698242,0,,,
A6482,6482,ОКОЛОВРЪСТЕН ПЪТ,,42.64147186279297,23.3134822845459,0,,,
A2874,2874,БЛ. 64 Ж.К. СТУДЕНТСКИ ГРАД,,42.6423225402832,23.34490966796875,0,,,
A2875,2875,БЛ. 64 Ж.К. СТУДЕНТСКИ ГРАД,,42.64145278930664,23.34464454650879,0,,,
A6745,6745,ГАРА ПОДУЯНЕ,,42.6963005065918,23.354694366455078,0,,,
A0523,0523,УЛ. ЛАГАДИНА,,42.63043975830078,23.314783096313477,0,,,
TB1911,1911,УЛ. ГОЦЕ ДЕЛЧЕВ,,42.71271896362305,23.274478912353516,0,,,
M18,18,МЛАДОСТ 3,,42.646522521972656,23.383630752563477,0,,,
A0770,0770,ИНСТИТУТ ПО ЧЕРНА МЕТАЛУРГИЯ - ПО ЖЕЛАНИЕ,,42.747657775878906,23.508914947509766,0,,,
A2815,2815,ПАЗАРА КРАСНО СЕЛО,,42.67782211303711,23.286285400390625,0,,,
A1824,1824,УЛ. АЛЕКСАНДЪР ЖЕНДОВ,,42.6806640625,23.357158660888672,0,,,
A2876,2876,УЛ. ТОДОР ЙОНЧЕВ,,42.64046859741211,23.34369659423828,0,,,
A0876,0876,КВ. ОВЧА КУПЕЛ,,42.672088623046875,23.273223876953125,0,,,
A1125,1125,НАЧАЛО КВ. ГНИЛЯНЕ,,42.80520248413086,23.378320693969727,0,,,
A6549,6549,УЛ.ИНДИРА ГАНДИ,,42.71012496948242,23.258878707885742,0,,,
TB1302,1302,ПЛ. РУЧЕЙ,,42.678367614746094,23.29780387878418,0,,,
TB1395,1395,БЪЛГАРСКА ТЕЛЕГРАФНА АГЕНЦИЯ,,42.68594741821289,23.344261169433594,0,,,
TB6717,6717,УЛ. КАМЕН АНДРЕЕВ,,42.69620895385742,23.301664352416992,0,,,
A0834,0834,КВ. ДРАГАЛЕВЦИ,,42.62897491455078,23.30941390991211,0,,,
TB2419,2419,БУЛ. ЦАРИЦА ЙОАНА,,42.711402893066406,23.271392822265625,0,,,
